Wall time,Step,Value
1744738697.256815,1536,51.03333282470703
1744738700.4831767,4096,51.037498474121094
1744738701.467603,4864,50.94736862182617
1744738703.2767825,6400,50.95000076293945
1744738708.3403735,10496,51.099998474121094
1744738708.9089363,11008,51.099998474121094
1744738709.4744053,11520,51.09000015258789
1744738709.7584758,11776,51.099998474121094
1744738710.327323,12288,51.099998474121094
1744738712.1558971,13824,51.09000015258789
1744738712.4329338,14080,51.09000015258789
1744738713.0236676,14592,51.09000015258789
1744738715.7312307,16896,51.0
1744738717.420558,18432,51.0
1744738717.714384,18688,51.0
1744738717.9936147,18944,51.0
1744738718.2778735,19200,51.0
1744738720.042278,20480,51.02000045776367
1744738722.3692954,22528,51.02000045776367
1744738724.5565586,24320,51.040000915527344
1744738727.0729353,26368,50.9900016784668
1744738727.928422,27136,50.9900016784668
1744738728.2182982,27392,51.0
1744738730.1994061,29184,50.95000076293945
1744738731.901157,30464,51.04999923706055
1744738734.1784334,32512,51.0099983215332
1744738735.058384,33280,51.0099983215332
1744738735.33936,33536,51.0099983215332
1744738737.9033124,35840,50.959999084472656
1744738738.4664245,36352,50.959999084472656
1744738738.7563803,36608,50.959999084472656
1744738741.0483036,38656,51.02000045776367
1744738742.5219038,39936,51.029998779296875
1744738743.6325192,40704,50.91999816894531
1744738746.1928637,43008,50.849998474121094
1744738746.4729803,43264,50.86000061035156
1744738747.32833,44032,50.77000045776367
1744738749.0708575,45568,50.720001220703125
1744738749.3599603,45824,50.869998931884766
1744738750.7775667,47104,50.75
1744738751.331003,47616,50.77000045776367
1744738751.606821,47872,50.77000045776367
1744738752.7231884,48896,50.77000045776367
1744738753.0102615,49152,50.77000045776367
1744738755.4164493,50944,50.810001373291016
1744738757.7566707,52992,50.970001220703125
1744738758.0578496,53248,51.040000915527344
1744738758.380046,53504,51.040000915527344
1744738759.5907044,54528,50.9900016784668
1744738762.9653065,57344,50.970001220703125
1744738764.781706,58880,50.970001220703125
1744738766.4552803,60160,51.08000183105469
1744738767.311521,60928,50.900001525878906
1744738770.7532685,64000,50.91999816894531
1744738772.4573143,65536,50.900001525878906
1744738773.8616598,66816,50.84000015258789
1744738774.7144692,67584,50.84000015258789
1744738775.8593404,68608,50.84000015258789
1744738776.983374,69632,50.97999954223633
1744738777.7532952,70144,51.34000015258789
1744738783.2800174,75008,51.2400016784668
1744738784.7122893,76288,50.790000915527344
1744738785.007641,76544,50.790000915527344
1744738786.448237,77824,50.70000076293945
1744738787.6176424,78848,50.599998474121094
1744738787.8999724,79104,50.599998474121094
1744738788.470319,79616,50.599998474121094
1744738791.0055575,81664,50.5099983215332
1744738791.2984307,81920,50.52000045776367
1744738793.0280178,83456,50.849998474121094
1744738793.3106604,83712,50.849998474121094
1744738793.5893278,83968,50.849998474121094
1744738794.4326875,84736,50.650001525878906
1744738796.9862158,87040,50.650001525878906
1744738799.2406418,89088,50.63999938964844
1744738804.2769995,93184,51.060001373291016
1744738805.40521,94208,50.88999938964844
1744738807.1810658,95744,50.790000915527344
1744738808.307446,96768,50.83000183105469
1744738808.866156,97280,50.83000183105469
1744738812.5411963,100352,50.75
1744738812.9466836,100608,50.75
1744738817.5675628,104704,49.75
1744738821.2962718,108032,49.56999969482422
1744738821.5706236,108288,49.75
1744738822.1323082,108800,49.93000030517578
1744738824.165591,110336,50.290000915527344
1744738826.8812585,112640,50.400001525878906
1744738827.4728556,113152,50.650001525878906
1744738827.770921,113408,50.650001525878906
1744738828.6394863,114176,50.65999984741211
1744738830.392149,115712,49.83000183105469
1744738832.974717,118016,50.060001373291016
1744738833.8367157,118784,50.04999923706055
1744738834.111282,119040,50.04999923706055
1744738836.872505,121344,50.47999954223633
1744738837.1654422,121600,50.369998931884766
1744738841.571824,125440,50.189998626708984
1744738842.1672142,125952,50.41999816894531
1744738842.7429225,126464,50.279998779296875
1744738847.0485034,130048,50.06999969482422
1744738848.4359136,131328,50.27000045776367
1744738848.9931986,131840,50.2599983215332
1744738849.8372273,132608,50.0099983215332
1744738852.1452088,134656,49.84000015258789
1744738853.8937356,136192,50.529998779296875
1744738854.480208,136704,50.290000915527344
1744738855.3584535,137472,50.04999923706055
1744738857.1412735,139008,50.22999954223633
1744738858.8205109,140288,50.63999938964844
1744738861.7061303,142848,50.91999816894531
1744738862.282734,143360,50.7599983215332
1744738863.4164467,144384,50.5
1744738863.68869,144640,50.59000015258789
1744738865.0903065,145920,49.97999954223633
1744738866.2166154,146944,49.7400016784668
1744738866.5132399,147200,49.560001373291016
1744738867.93831,148480,49.84000015258789
1744738868.4962854,148992,49.470001220703125
1744738868.776479,149248,49.47999954223633
1744738869.3488185,149760,49.47999954223633
1744738870.1073577,150272,49.93000030517578
1744738870.4135745,150528,49.93000030517578
1744738871.927917,151808,50.36000061035156
1744738872.2275765,152064,50.33000183105469
1744738874.9154463,154368,50.54999923706055
1744738876.6081617,155904,50.15999984741211
1744738877.1695454,156416,49.7599983215332
1744738878.57459,157696,50.099998474121094
1744738880.000256,158976,49.880001068115234
1744738880.5844262,159488,49.91999816894531
1744738884.2505264,162560,49.38999938964844
1744738886.27951,164352,49.65999984741211
1744738886.5672832,164608,49.72999954223633
1744738887.1476781,165120,49.5099983215332
1744738887.4376826,165376,49.5
1744738887.7207508,165632,49.0099983215332
1744738888.0054953,165888,49.06999969482422
1744738888.571658,166400,49.470001220703125
1744738889.421199,167168,49.619998931884766
1744738890.619342,168192,49.529998779296875
1744738892.0935967,169472,49.34000015258789
1744738893.226809,170240,49.9900016784668
1744738894.3504398,171264,50.459999084472656
1744738895.207214,172032,50.5099983215332
1744738895.4976478,172288,50.5099983215332
1744738896.065989,172800,50.599998474121094
1744738896.3482687,173056,50.52000045776367
1744738897.2167447,173824,50.33000183105469
1744738897.4999363,174080,50.61000061035156
1744738898.3621254,174848,50.38999938964844
1744738898.660587,175104,49.9900016784668
1744738900.0614495,176384,49.869998931884766
1744738900.3472877,176640,49.81999969482422
1744738902.3162012,178432,49.65999984741211
1744738903.1712697,179200,49.70000076293945
1744738904.501452,180224,50.52000045776367
1744738905.3326397,180992,50.81999969482422
1744738905.9186037,181504,50.59000015258789
1744738906.4830816,182016,50.560001373291016
1744738907.6116414,183040,50.369998931884766
1744738908.7165987,184064,50.22999954223633
1744738909.555535,184832,50.209999084472656
1744738909.831676,185088,49.84000015258789
1744738910.117329,185344,49.84000015258789
1744738912.1047966,187136,49.63999938964844
1744738913.7880816,188672,48.7400016784668
1744738914.339308,189184,48.7599983215332
1744738914.6363976,189440,48.83000183105469
1744738916.0331602,190464,48.36000061035156
1744738917.282091,191488,48.630001068115234
1744738918.1844702,192256,48.65999984741211
1744738918.4854739,192512,48.65999984741211
1744738918.7775536,192768,48.77000045776367
1744738919.3446126,193280,49.310001373291016
1744738919.9409258,193792,49.33000183105469
1744738922.697806,196096,49.040000915527344
1744738923.0065184,196352,49.130001068115234
1744738923.8769605,197120,49.33000183105469
1744738924.1908844,197376,49.040000915527344
1744738924.4722598,197632,49.15999984741211
1744738925.0404265,198144,49.13999938964844
1744738925.3243518,198400,49.02000045776367
1744738927.0023522,199936,49.09000015258789
1744738928.4145117,200960,49.4900016784668
1744738928.674353,201216,49.4900016784668
1744738929.2801032,201728,49.63999938964844
1744738929.9452965,202240,49.72999954223633
1744738930.8972726,203008,49.58000183105469
1744738931.2192757,203264,49.630001068115234
